"","binomial","X","Species.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Authority","Infraspecific.rank","Infraspecific.name","Infraspecific.authority","Stock.subpopulation","Synonyms","Common.names..Eng.","Common.names..Fre.","Common.names..Spa.","Red.List.status","Red.List.criteria","Red.List.criteria.version","Year.assessed","Population.trend","Petitioned","mating_system","sex_dim","ref.matsys","ref.sexdim","male_svl_cm","female_svl_cm","male_body_mass_g","female_body_mass_g","ref.svl.male","ref.svl.female","ref.body_mass.male","ref.body_mass.female","shape_Leng","shape_Area","han_MorR","sex_role.liker","malepolyfreq.liker","malepolyscore.liker","fempolyfreq.liker","fempolyscore.liker","parentalcare_bias.liker","malecareduration.liker","femcareduration.liker","breedingdens.liker","EPP.freq.liker","body.size.pip","latitude.pip","sex.size.dim","ref.sex.size.dim","body_mass_adult","ref_body_mass","sex.sel.traits","ref.sex.sel.t","comments","ASR","ref.asr"
"10149","Conraua goliath",10149,5263,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","CONRAUIDAE","Conraua","goliath","(Boulenger, 1906)",NA,NA,NA,NA,"Rana goliath","Giant Slippery Frog, Goliath Frog",NA,NA,"EN","A2d+3d",3.1,2004,"decreasing",NA,"Polygynous","Sexes alike","adw","adw",27,25.4,NA,NA,"han","han",NA,NA,11.36311577,5.617940849,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
"11027","Crinia signifera",11027,41141,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MYOBATRACHIDAE","Crinia","signifera","Girard, 1853",NA,NA,NA,NA,NA,"Brown Froglet, Clicking Froglet, Common Froglet",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.88,2.17,NA,NA,"han","han",NA,NA,155.5513179,85.72513618,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,34.62,-0.06,"pipoly",NA,NA,NA,NA,NA,0.44,"pipoly"
"11379","Cruziohyla calcarifer",11379,55289,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","PHYLLOMEDUSIDAE","Cruziohyla","calcarifer","(Boulenger, 1902)",NA,NA,NA,NA,"Agalychnis  calcarifer |Phyllomedusa  calcarifer","Splendid Leaf Frog, Splendid Treefrog",NA,NA,"LC",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,5.2,6.5,NA,NA,"han","han",NA,NA,39.44153453,4.865038204,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11931","Cycloramphus boraceiensis",11931,56360,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","CYCLORAMPHIDAE","Cycloramphus","boraceiensis","Heyer, 1983",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,3.866,5.301,NA,NA,"nali","nali",NA,NA,17.37654065,2.419616827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12593","Dendrobates auratus",12593,55174,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Dendrobates","auratus","(Girard, 1855)",NA,NA,NA,NA,"Dendrobates auratus|Dendrobates  amoenus|Dendrobates  latimaculatus|Dendrobates  tinctorius subspecies auratus|Hylaplesia aurata|Hylaplesia tinctoria subspecies latimaculata|Phyllobates auratus","Green And Black Poison Frog, Gold Arrow-poison Frog, Golden Poison-arrow Frog, Green and Black Poison-arrow Frog, Green and Black Poison-dart Frog, Green and Golden Poison-arrow Frog, Green Poison-arrow Frog, Green Poison Frog",NA,NA,"LC",NA,3.1,2008,"unknown",NA,"Polygynous","Sexes alike","adw","adw",3.03,3.37,NA,NA,"han","han",NA,NA,58.63722735,9.516749056,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
"12594","Dendrobates leucomelas",12594,55191,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Dendrobates","leucomelas","Steindachner, 1864",NA,NA,NA,NA,NA,"Yellow-headed Poison Frog",NA,"Sapito Minero","LC",NA,3.1,2004,"stable",NA,"Polygynandrous (promiscuous)","Female larger","adw","adw",3.27,3.51,NA,NA,"han","han",NA,NA,35.96880262,67.82021518,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
"12596","Dendrobates tinctorius",12596,55204,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Dendrobates","tinctorius","(Cuvier, 1797)",NA,NA,NA,NA,"Calamita tinctorius|Dendrobates tinctorius|Dendrobates  azureus|Dendrobates  machadoi|Hyla  tinctoria|Hylaplesia tinctoria|Rana tinctoria","Dyeing Poison Frog, Dyeing Poison-arrow Frog, Tinging Frog","Dendrobate À Tapirer",NA,"LC",NA,3.1,2010,"stable",NA,NA,"Female larger",NA,"adw",4.1,4.65,NA,NA,"han","han",NA,NA,28.72855048,42.69687493,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 30/10/2018)",NA,NA
"12597","Dendrobates truncatus",12597,55205,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Dendrobates","truncatus","(Cope, 1861)",NA,NA,NA,NA,"Hylaplesia  trunctata|Phyllobates  truncatus","Yellow-striped Poison Frog, Yellow-striped Poison-arrow Frog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.56,2.87,NA,NA,"han","han",NA,NA,20.05708508,5.395069669,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12689","Dendrophryniscus brevipollicatus",12689,54806,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Dendrophryniscus","brevipollicatus","Jiménez de la Espada, 1870",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,1.59,1.972,NA,NA,"nali","nali",NA,NA,20.41065873,3.886468803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12716","Dendropsophus allenorum",12716,55383,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","allenorum","(Duellman & Trueb, 1989)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.9,2.6,NA,NA,"han","han",NA,NA,5.521471631,1.172704779,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12719","Dendropsophus anceps",12719,55389,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","anceps","(Lutz, 1929)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.7,4.03,NA,NA,"han","han",NA,NA,29.56619674,17.77707754,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12720","Dendropsophus aperomeus",12720,55392,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","aperomeus","(Duellman, 1982)",NA,NA,NA,NA,"Hyla  aperomea",NA,NA,NA,"LC",NA,3.1,2017,"unknown",NA,NA,NA,NA,NA,1.98,2.5,NA,NA,"han","han",NA,NA,13.11122479,1.764104326,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12724","Dendropsophus berthalutzae",12724,55408,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","berthalutzae","(Bokermann, 1962)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.891,2.21,NA,NA,"nali","nali",NA,NA,42.17215184,6.325665046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12725","Dendropsophus bifurcus",12725,55409,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","bifurcus","(Andersson, 1945)",NA,NA,NA,NA,NA,NA,NA,"Rana Payaso","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.51,3.18,NA,NA,"han","han",NA,NA,57.32493037,120.191283,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12726","Dendropsophus bipunctatus",12726,55411,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","bipunctatus","(Spix, 1824)",NA,NA,NA,NA,"Hyla bipunctata  ",NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,1.65,2.55,NA,NA,"han","han",NA,NA,45.81974023,12.7097194,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12730","Dendropsophus brevifrons",12730,55421,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","brevifrons","(Duellman & Crump, 1974)",NA,NA,NA,NA,NA,NA,"Rainette Camuse",NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,1.85,2.14,NA,NA,"han","han",NA,NA,79.02052419,130.2287046,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12740","Dendropsophus ebraccatus",12740,55470,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","ebraccatus","(Cope, 1874)",NA,NA,NA,NA,"Hyla weyerae  |Hyla  ebraccata ","Hourglass Treefrog",NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.51,3.65,NA,NA,"han","han",NA,NA,88.96236944,19.14697842,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12741","Dendropsophus elegans",12741,55473,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","elegans","(Wied-Neuwied, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.574,3.234,NA,NA,"nali","nali",NA,NA,72.40192464,55.81199632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12745","Dendropsophus giesleri",12745,55488,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","giesleri","(Mertens, 1950)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,2.516,3.452,NA,NA,"nali","nali",NA,NA,13.84767354,3.718027352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12753","Dendropsophus koechlini",12753,55526,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","koechlini","(Duellman and Trueb, 1989)",NA,NA,NA,NA,"Hyla koechlini","Koechlin's Treefrog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.05,2.6,NA,NA,"han","han",NA,NA,52.37118041,98.98770508,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12756","Dendropsophus leucophyllatus",12756,55537,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","leucophyllatus","(Beireis, 1783)",NA,NA,NA,NA,"Hyla favosa  ",NA,"Rainette À Bandeau",NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,3.39,4.2,NA,NA,"han","han",NA,NA,142.4749244,452.0074504,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12760","Dendropsophus marmoratus",12760,55548,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","marmoratus","(Laurenti, 1768)",NA,NA,NA,NA,NA,"Marbled Treefrog",NA,"Rana Marmorea","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,3.91,4.93,NA,NA,"han","han",NA,NA,82.00443751,396.1158983,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12763","Dendropsophus meridensis",12763,55555,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","meridensis","(Rivero, 1961)",NA,NA,NA,NA,"Hyla vilsoniana subspecies meridensis","Merida Treefrog",NA,"Ranita Meridena","EN","B1ab(iii,v)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,3.44,3.85,NA,NA,"nali","nali",NA,NA,2.733097783,0.06143589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12765","Dendropsophus microcephalus",12765,55558,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","microcephalus","(Cope, 1886)",NA,NA,NA,NA,"Hyla cherrei  |Hyla microcephala subspecies misera|Hyla  cherrii|Hyla  microcephala |Hyla  microcephala  subspecies cherrei|Hyla  microcephala  subspecies martini |Hyla  microcephala  subspecies underwoodi|Hyla  misera |Hyla  underwoodi ","Small-headed Treefrog, Yellow Cricket Treefrog, Yellow Treefrog",NA,"Ranita Misera","LC",NA,3.1,2008,"increasing",NA,NA,NA,NA,NA,2.28,2.68,NA,NA,"han","han",NA,NA,317.1577919,456.8934091,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12766","Dendropsophus microps",12766,55560,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","microps","(Peters, 1872)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.12,3.055,NA,NA,"nali","nali",NA,NA,67.33245786,26.20706233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12768","Dendropsophus minusculus",12768,55564,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","minusculus","(Rivero, 1971)",NA,NA,NA,NA,NA,NA,NA,"Ranita Minuscula","LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2,2.33,NA,NA,"han","han",NA,NA,61.79361899,49.42871037,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12769","Dendropsophus minutus",12769,55565,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","minutus","(Peters, 1872)",NA,NA,NA,NA,"Hyla minuta","Lesser Treefrog",NA,"Ranita Amarilla Comun","LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.13,2.38,NA,NA,"han","han",NA,NA,287.0562416,920.0548348,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12770","Dendropsophus miyatai",12770,55569,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","miyatai","(Vigle and Goberdhan-Vigle, 1990)",NA,NA,NA,NA,NA,"Hosteria La Selva Treefrog",NA,"Ranita arbórea de Miyata","LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,2,2.5,NA,NA,"han","han",NA,NA,45.14037281,108.3944002,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12772","Dendropsophus nanus",12772,55575,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","nanus","(Boulenger, 1889)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.85,2.05,NA,NA,"han","han",NA,NA,126.988535,687.6059392,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12777","Dendropsophus parviceps",12777,55589,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","parviceps","(Boulenger, 1882)",NA,NA,NA,NA,NA,"Sarayacu Treefrog",NA,"Ranita Caricorta","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.68,2.34,NA,NA,"han","han",NA,NA,77.68047795,366.6443816,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12779","Dendropsophus pelidna",12779,55591,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","pelidna","(Duellman, 1989)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,3.44,3.85,NA,NA,"han","han",NA,NA,3.873060677,0.215010786,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12785","Dendropsophus rhodopeplus",12785,55625,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","rhodopeplus","(Günther, 1858)",NA,NA,NA,NA,"Hyla albida  |Hyla aluminiata  |Hyla rufopunctata  ","Red-skirted Treefrog",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.07,2.67,NA,NA,"han","han",NA,NA,55.25460718,120.635294,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12786","Dendropsophus riveroi",12786,55626,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","riveroi","(Cochran and Goin, 1970)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.85,2.28,NA,NA,"han","han",NA,NA,57.89071417,196.8954087,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12787","Dendropsophus robertmertensi",12787,55628,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","robertmertensi","(Taylor, 1937)",NA,NA,NA,NA,"Hyla robertmertensi","Mertens' Yellow Treefrog",NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.47,2.66,NA,NA,"han","han",NA,NA,13.07322997,1.589399811,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12789","Dendropsophus rubicundulus",12789,55634,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","rubicundulus","(Reinhardt and Lütken, 1862)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,2,2.2,NA,NA,"han","han",NA,NA,72.11256131,214.3809261,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12791","Dendropsophus sanborni",12791,55641,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","sanborni","(Schmidt, 1944)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.6,1.85,NA,NA,"han","han",NA,NA,78.37419046,96.28876768,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12792","Dendropsophus sarayacuensis",12792,55644,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","sarayacuensis","(Shreve, 1935)",NA,NA,NA,NA,"Hyla  sarayacuensis","Shreve's Sarayacu Treefrog",NA,"Ranita De Sarayacu","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.5,3.35,NA,NA,"han","han",NA,NA,50.40518767,143.3573039,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12793","Dendropsophus sartori",12793,55646,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","sartori","(Smith, 1951)",NA,NA,NA,NA,"Hyla sartori","Taylor's Yellow Treefrog",NA,"Rana-de Arbol De Taylor","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.48,2.86,NA,NA,"han","han",NA,NA,5.943161084,0.655899322,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12795","Dendropsophus seniculus",12795,55653,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","seniculus","(Cope, 1868)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,3.25,3.95,NA,NA,"han","han",NA,NA,36.45250514,22.54795351,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12800","Dendropsophus timbeba",12800,55676,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","timbeba","(Martins & Cardoso, 1987)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.9,2.6,NA,NA,"nali","nali",NA,NA,19.30681874,9.64437169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12802","Dendropsophus triangulum",12802,55679,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","triangulum","(Günther, 1869)",NA,NA,NA,NA,"Hyla laynei|Hyla membranacea|Hyla oliveae|Hyla reticulata|Hyla  leucophyllata  subspecies triangulum|Hyla  triangulum ","Triangle Treefrog",NA,NA,"LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,2.54,3.54,NA,NA,"han","han",NA,NA,65.58246141,209.3597134,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12806","Dendropsophus werneri",12806,55694,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Dendropsophus","werneri","(Cochran, 1952)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.949,2.202,NA,NA,"nali","nali",NA,NA,19.36702275,5.140844661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12858","Dermatonotus muelleri",12858,57804,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","MICROHYLIDAE","Dermatonotus","muelleri","(Boettger, 1885)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,5.284,7.415,NA,NA,"nali","nali",NA,NA,96.42678248,348.2226014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12985","Diasporus diastema",12985,56560,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","ELEUTHERODACTYLIDAE","Diasporus","diastema","(Cope, 1875)",NA,NA,NA,NA,"Eleutherodactylus diastema|Hyla chica|Hylodes  diastema|Lithodytes diastema |Pristimantis  diastema|Syrrhopus ineptus","Common Dink Frog, Caretta Robber Frog",NA,NA,"LC",NA,3.1,2015,"decreasing",NA,NA,NA,NA,NA,1.85,2.1,NA,NA,"han","han",NA,NA,37.21892884,9.074641556,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13678","Duellmanohyla rufioculis",13678,55310,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Duellmanohyla","rufioculis","(Taylor, 1952)",NA,NA,NA,NA,"Hyla  rufioculis ",NA,NA,NA,"LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,2.82,3.67,NA,NA,"han","han",NA,NA,13.26785109,1.463939091,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13704","Duttaphrynus himalayanus",13704,54662,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Duttaphrynus","himalayanus","(Günther, 1864)",NA,NA,NA,NA,"Bufo abatus  |Bufo cyphosus  |Bufo himalayanus  ","Himalayan Toad",NA,NA,"LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,8.78,9.58,NA,NA,"han","han",NA,NA,74.55626419,46.67677912,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13707","Duttaphrynus melanostictus",13707,54707,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE","Duttaphrynus","melanostictus","(Schneider, 1799)",NA,NA,NA,NA,"Ansonia kamblei  |Bufo melanostictus  |Bufo tienhoensis  ","Asian Common Toad, Asian Toad, Black-spectacled Toad, Common Sunda Toad, Javanese Toad",NA,NA,"LC",NA,3.1,2004,"increasing",NA,"Polygynandrous (promiscuous)","Male larger","adw","adw",6.85,7.52,NA,NA,"han","han",NA,NA,653.8094315,600.8184863,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on collected individuals from two studies: 48 males and 35 females (Döring et al., 2017); 53 males and 56 females (Ngo & Ngo, 2013) (CCI 30/10/2018)",0.52,"(Döring et al., 2017; Ngo & Ngo, 2013)"
"13803","Ecnomiohyla miliaria",13803,55561,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","HYLIDAE","Ecnomiohyla","miliaria","(Cope, 1886)",NA,NA,NA,NA,"Hyla immensa|Hyla  miliaria|Hypsiboas  miliarius |Plectrohyla  miliaria","Cope's Brown Treefrog",NA,NA,"VU","B1ab(iii)",3.1,2010,"unknown",NA,NA,NA,NA,NA,8.16,6.97,NA,NA,"han","han",NA,NA,0.268852868,0.005751862,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
