species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Accipiter_cirrocephalus,Accipitriformes,Accipitridae,NA,172,0,0,2,30.5,NA,NA,NA,3.3,1,21,NA,NA,679,171,NA,354,NA,0,0,1,0,36,419,150,NA,4,314,NA,2,NA,0,0,2,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,38,NA,NA,NA,NA,0.12,165.73,NA,NA,NA
Accipiter_collaris,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
Accipiter_cooperii,Accipitriformes,Accipitridae,NA,439,0,NA,NA,31.5,NA,NA,NA,3.933333333,1,40,NA,NA,396.1666667,NA,NA,182.5,NA,0,0,1,NA,34,253.6666667,NA,NA,3,173.5,NA,NA,0.355,0,0,3,NA,NA,3,0,0,NA,0,NA,0.2,NA,0,1,1,49,3,NA,NA,NA,NA,429.67,NA,NA,NA
Accipiter_erythrauchen,Accipitriformes,Accipitridae,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,156,NA,NA,NA
Accipiter_erythronemius,Accipitriformes,Accipitridae,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,125,NA,NA,NA
Accipiter_erythropus,Accipitriformes,Accipitridae,NA,115.35,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,146,108,NA,161.5,NA,NA,NA,NA,NA,NA,84.7,108,NA,NA,148.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,111.2,NA,NA,NA
Accipiter_fasciatus,Accipitriformes,Accipitridae,NA,380.25,1,0,NA,31.5,NA,NA,NA,3.04,1,32.5,NA,NA,378.75,237,NA,236.6,NA,0,0,1,0,31.25,221.5,202,NA,4,199.5,NA,2,NA,0,0,1,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,14,NA,NA,NA,NA,7.66,358.66,NA,NA,NA
Accipiter_francesiae,Accipitriformes,Accipitridae,NA,138.5,NA,NA,NA,27,NA,NA,NA,3,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,1,NA,31,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,1,1,NA,1,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,136.82,NA,NA,NA
Accipiter_gentilis,Accipitriformes,Accipitridae,0.481,901.6667,1,NA,1,38.5,3,NA,1,3.375,1,67,2.6,NA,1125.888889,256,NA,354,0.17,0,0,1,NA,36.5,709.888889,223,NA,5,314,0.17,2,0.17,0,0,2,NA,50,0,0,0,NA,0,NA,0,NA,0,0,0,35,2,NA,NA,NA,7.29,866.04,NA,NA,NA
Accipiter_griseiceps,Accipitriformes,Accipitridae,NA,255.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,251.76,NA,NA,NA
Accipiter_gularis,Accipitriformes,Accipitridae,NA,122,NA,NA,NA,30,NA,NA,NA,3.2,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,26.5,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-1,NA,0.6,NA,1,3,1,NA,NA,NA,NA,NA,NA,120.66,NA,NA,NA
Accipiter_gundlachi,Accipitriformes,Accipitridae,NA,675,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,675,NA,NA,NA
Accipiter_haplochrous,Accipitriformes,Accipitridae,NA,204.5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,198.41,NA,NA,NA
Accipiter_henicogrammus,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
Accipiter_henstii,Accipitriformes,Accipitridae,NA,1050,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,NA,1,0,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,53,NA,0,0,NA,0,NA,0,NA,0,0,0,45,NA,NA,NA,NA,NA,1050,NA,NA,NA
Accipiter_hiogaster,Accipitriformes,Accipitridae,NA,293.8333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_imitator,Accipitriformes,Accipitridae,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,222.49,NA,NA,NA
Accipiter_luteoschistaceus,Accipitriformes,Accipitridae,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,214,NA,NA,NA
Accipiter_madagascariensis,Accipitriformes,Accipitridae,NA,182,NA,NA,NA,37.5,NA,NA,NA,3,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,0,NA,35,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,-1,NA,-1,NA,-1,-5,-1,26,NA,NA,NA,NA,NA,180.41,NA,NA,NA
Accipiter_melanochlamys,Accipitriformes,Accipitridae,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,265,NA,NA,NA
Accipiter_melanoleucus,Accipitriformes,Accipitridae,NA,699,1,NA,2,41,3,NA,1,2.8,1,52,NA,NA,865,NA,NA,337.5,NA,0,0,1,NA,37,550,NA,NA,4,291,NA,NA,NA,0,0,1,NA,97.5,2,0,0,NA,0,NA,0,NA,0,0,0,51,2,NA,NA,NA,NA,699.0966667,238.5,NA,NA
Accipiter_meyerianus,Accipitriformes,Accipitridae,NA,815,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,2,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,763.54,NA,NA,NA
Accipiter_minullus,Accipitriformes,Accipitridae,NA,88.35,1,NA,2,26,1,NA,NA,1.955,NA,18.5,NA,NA,101,NA,NA,159,NA,0,0,1,NA,31.5,78.3,NA,NA,NA,141,NA,NA,NA,0,0,1,NA,NA,2,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,87.43,117.5,NA,NA
Accipiter_nanus,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
Accipiter_nisus,Accipitriformes,Accipitridae,0.47,237.5,0,NA,1,27,3,NA,1,4.8,1,22.5,NA,NA,301.6666667,180,NA,236.6,0.32,0,0,0,NA,40.5,150,149,NA,4,199.5,0.33,2,0.325,0.001,1,2,NA,30,NA,1,1,NA,1,NA,1,NA,1,5,1,25,2,NA,NA,NA,0.53,220.79,NA,NA,NA
Accipiter_novaehollandiae,Accipitriformes,Accipitridae,NA,375.25,1,0,NA,36.75,NA,NA,NA,2.416666667,1,40.5,NA,NA,632.75,NA,NA,NA,NA,0,0,1,0,33.75,311,NA,NA,NA,NA,NA,2,NA,0,0,2,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,40.5,NA,NA,NA,NA,0.2,340.03,NA,NA,NA
Accipiter_ovampensis,Accipitriformes,Accipitridae,NA,195,NA,NA,NA,33,0,NA,NA,3,1,NA,NA,NA,260,175,NA,NA,NA,0,0,0,NA,34.5,140,147.5,NA,NA,NA,NA,NA,NA,0,0,1,NA,30,2,0,0,NA,0,NA,0,NA,0,0,0,30,NA,NA,NA,NA,NA,195,NA,NA,NA
Accipiter_poliocephalus,Accipitriformes,Accipitridae,NA,215,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,214.76,NA,NA,NA
Accipiter_poliogaster,Accipitriformes,Accipitridae,NA,NA,0,NA,NA,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,41,NA,NA,NA,NA,NA,1369.41,NA,NA,NA
Accipiter_princeps,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
Accipiter_rhodogaster,Accipitriformes,Accipitridae,NA,188.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,172.71,NA,NA,NA
