binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Oophaga lehmanni,55190,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Oophaga,lehmanni,"(Myers & Daly, 1976)",NA,NA,NA,NA,Dendrobates lehmanni  ,"Lehmann's Poison Frog, Red-banded Poison Frog",NA,NA,CR,B2ab(iii),3.1,2004,decreasing,NA,NA,Sexes alike,NA,adw,3.34,3.29,NA,NA,han,han,NA,NA,0.7948082,0.01962945,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 31/10/2018)
Oophaga pumilio,55196,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Oophaga,pumilio,"(Schmidt, 1857)",NA,NA,NA,NA,Dendrobates galindoi|Dendrobates ignitus|Dendrobates pumilio  |Dendrobates typographicus|Dendrobates typographus|Hylaplesia ignita|Hylaplesia pumilio|Hylaplesia typographa,"Strawberry Poison Frog, Flaming Poison-arrow Frog, Flaming Poison Frog, Red-and-blue Poison Frog, Strawberry Poison-dart Frog",NA,NA,LC,NA,3.1,2015,unknown,NA,Polygynandrous (promiscuous),Sexes shaped differently,adw,"(Folt etal., 2018)",2.09,2.07,NA,NA,han,han,NA,NA,22.28488,5.134948,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,"(Folt et al., 2018)",NA,NA,NA,NA,NA,NA,ASR based on 85 surveys from marked individuals: 658 males and 1645 females (CCI 31/10/2018)
Oophaga speciosa,55201,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Oophaga,speciosa,"(Schmidt, 1857)",NA,NA,NA,NA,Dendrobates speciosus  |Dendrobates speciosus  |Oophaga speciosus  ,Splendid Poison Frog,NA,NA,EN,B1ab(iii),3.1,2010,unknown,NA,NA,NA,NA,NA,2.84,2.91,NA,NA,han,han,NA,NA,0.7567195,0.03088571,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophryophryne microstoma,57586,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Ophryophryne,microstoma,"Boulenger, 1903",NA,NA,NA,NA,Ophryophryne poilani  ,Asian Mountain Toad ,NA,NA,LC,NA,3.1,2017,decreasing,NA,NA,NA,NA,NA,3.06,4.73,NA,NA,han,han,NA,NA,154.1538,9.778429,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreobates quixensis,57105,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Oreobates,quixensis,"Jiménez de la Espada, 1872",NA,NA,NA,NA,Borborocoetes  quixensis|Eupsophus  quixensis |Ischnocnema quixensis|Leptodactylus  tuberculosus,Common Big-headed Frog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,4.38,5.76,NA,NA,han,han,NA,NA,42.6202,120.5931,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreolalax chuanbeiensis,57588,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,chuanbeiensis,"Tian, 1983",NA,NA,NA,NA,NA,NA,NA,NA,EN,B1ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,5.3,5.67,NA,NA,han,han,NA,NA,2.538436,0.3167695,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreolalax jingdongensis,57590,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,jingdongensis,"Hu, Yang and Li, 1983",NA,NA,NA,NA,NA,NA,NA,NA,VU,B1ab(iii)+2ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,5.43,5.26,NA,NA,han,han,NA,NA,3.947345,1.127687,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreolalax liangbeiensis,57591,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,liangbeiensis,"Liu and Fei, 1979",NA,NA,NA,NA,NA,NA,NA,NA,CR,"B1ab(iii,v)+2ab(iii,v); C2a(ii)",3.1,2004,decreasing,NA,NA,NA,NA,NA,5.16,6,NA,NA,han,han,NA,NA,0.2999333,0.007158606,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreolalax lichuanensis,57592,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,lichuanensis,"Hu & Fei, 1979",NA,NA,NA,NA,NA,"Lichuan Toothed Toad, Lichuan Lazy Toad",NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,5.87,5.91,NA,NA,han,han,NA,NA,16.27603,8.44408,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreolalax major,57593,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,major,"(Liu and Hu, 1960)",NA,NA,NA,NA,NA,NA,NA,NA,VU,B2ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,6.46,6.75,NA,NA,han,han,NA,NA,7.8679,2.511394,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
