binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Pleurodema bufoninum,57284,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pleurodema,bufoninum,"Bell, 1843",NA,NA,NA,NA,Pleurodema bufonina,Large Four-eyed Frog,NA,Sapo De Cuatro Ojos Grandes,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,4.5,5.6,NA,NA,han,han,NA,NA,75.74901,74.06015,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleurodema thaul,57291,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pleurodema,thaul,"(Lesson, 1826)",NA,NA,NA,NA,Bufo thaul,Chile Four-eyed Frog,NA,Sapito de Cuatro Ojos,LC,NA,3.1,2015,stable,NA,NA,NA,NA,NA,4.17,4.97,NA,NA,han,han,NA,NA,73.14329,28.31953,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypedates leucomystax,58953,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Polypedates,leucomystax,"(Gravenhorst, 1829)",NA,NA,NA,NA,Polypedates rugosus|Polypedates teraiensis,"Common Tree Frog, Four-lined Tree Frog, White-lipped Tree Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,4.35,6.27,NA,NA,han,han,NA,NA,813.7372,332.1068,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypedates megacephalus,58957,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Polypedates,megacephalus,"Hallowell, 1860",NA,NA,NA,NA,NA,"Hong Kong Whipping Frog, Spot-legged Treefrog, White-lipped Treefrog",NA,NA,LC,NA,3.1,2009,stable,NA,NA,NA,NA,NA,4.9,6.71,NA,NA,han,han,NA,NA,165.5256,160.9472,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypedates mutus,58958,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Polypedates,mutus,"(Smith, 1940)",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,5.34,6.67,NA,NA,han,han,NA,NA,82.37227,48.11351,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proceratophrys appendiculata,57293,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ODONTOPHRYNIDAE,Proceratophrys,appendiculata,"(Günther, 1873)",NA,NA,NA,NA,Ceratophrys appendiculata,"Guenther's Horned Frog, Günther's Horned Frog, Gunther's Smooth Horned Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.949,6.318,NA,NA,nali,nali,NA,NA,35.54887,8.895843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proceratophrys boiei,57296,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ODONTOPHRYNIDAE,Proceratophrys,boiei,"(Wied-Neuwied, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,4.818,6.581,NA,NA,nali,nali,NA,NA,79.71773,55.45415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris brachyphona,55888,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,brachyphona,"(Cope, 1889)",NA,NA,NA,NA,NA,Mountain Chorus Frog,NA,NA,LC,NA,3.1,2004,unknown,NA,Polygynandrous (promiscuous),"Female larger, Sexes colored or patterned differently",adw,adw,2.46,3.03,NA,NA,han,han,NA,NA,76.06197,28.90988,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,"(Green, 1952)",NA,NA,NA,NA,NA,NA,ASR based on newly marked individuals from 5 years: 1018 males and 171 females (CCI 01/11/2018)
Pseudacris brimleyi,55889,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,brimleyi,"Brandt & Walker, 1933",NA,NA,NA,NA,NA,Brimley's Chorus Frog,NA,NA,LC,NA,3.1,2014,stable,NA,NA,NA,NA,NA,2.6,2.98,NA,NA,han,han,NA,NA,51.77707,13.28812,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris cadaverina,55890,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,cadaverina,"(Cope, 1866)",NA,NA,NA,NA,NA,"California Chorus Frog, California Treefrog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,3.3,4.09,NA,NA,han,han,NA,NA,27.53905,6.172572,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris clarkii,55891,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,clarkii,"(Baird, 1854)",NA,NA,NA,NA,NA,"Clarke's Striped Tree Frog, Clark's Tree Frog, Spotted Chorus Frog",NA,NA,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,2.45,2.8,NA,NA,han,han,NA,NA,121.6934,52.4679,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris crucifer,55892,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,crucifer,"(Wied-Neuwied, 1838)",NA,NA,NA,NA,NA,Spring Peeper,NA,NA,LC,NA,3.1,2015,stable,NA,NA,Sexes colored or patterned differently,NA,"(Stewart, 2013)",2.52,3.18,NA,NA,han,han,NA,NA,14.21524,0.7467377,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 02/11/2018)
Pseudacris feriarum,55893,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,feriarum,"(Baird, 1854)",NA,NA,NA,NA,Pseudacris triseriata subspecies feriarum,Upland Chorus Frog,NA,NA,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,2.55,2.75,NA,NA,han,han,NA,NA,76.01244,74.32402,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,136004,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,maculata,"(Agassiz, 1850)",NA,NA,NA,NA,Hylodes maculatus|Pseudacris triseriata subspecies maculata,Boreal Chorus Frog,NA,NA,LC,NA,3.1,2015,stable,NA,NA,NA,NA,NA,2.55,2.7,NA,NA,han,han,NA,NA,254.4047,692.5127,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris nigrita,55894,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,nigrita,"(LeConte, 1825)",NA,NA,NA,NA,NA,Southern Chorus Frog,NA,NA,LC,NA,3.1,2014,stable,NA,NA,NA,NA,NA,2.45,2.6,NA,NA,han,han,NA,NA,87.69188,36.44697,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris ocularis,55895,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,ocularis,"(Holbrook, 1838)",NA,NA,NA,NA,Hylodes ocularis,"Little Grass Frog, Black-spotted Tree Frog, Least Tree Frog, Little Chorus Frog",NA,NA,LC,NA,3.1,2015,stable,NA,NA,NA,NA,NA,1.35,1.48,NA,NA,han,han,NA,NA,85.27584,32.44814,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris ornata,55896,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,ornata,"(Holbrook, 1836)",NA,NA,NA,NA,Rana ornata,Ornate Chorus Frog,NA,NA,LC,NA,3.1,2015,stable,NA,NA,NA,NA,NA,3,3.2,NA,NA,han,han,NA,NA,76.37978,33.1306,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris regilla,55897,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,regilla,"(Baird & Girard, 1852)",NA,NA,NA,NA,NA,"Pacific Treefrog, Pacific Chorus Frog",NA,NA,LC,NA,3.1,2004,stable,NA,Polygynous,"Female larger, Sexes colored or patterned differently",adw,adw,3.25,3.72,NA,NA,han,han,NA,NA,233.0608,171.6282,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 05/11/2018)
Pseudacris streckeri,55898,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,streckeri,"Wright & Wright, 1933",NA,NA,NA,NA,NA,Strecker's Chorus Frog,NA,NA,LC,NA,3.1,2015,unknown,NA,Polygynandrous (promiscuous),"Female larger, Sexes colored or patterned differently",adw,adw,3.3,3.9,NA,NA,han,han,NA,NA,100.8578,53.01315,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,"(Tucker & Philipp, 1995)",NA,NA,NA,NA,NA,NA,"ASR based on marked individuals: 91 males and 62 females (estimated from figure 11, Tucker & Philipp, 1995) (CCI 05/11/2018)"
Pseudacris triseriata,55899,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,triseriata,"(Wied-Neuwied, 1838)",NA,NA,NA,NA,NA,Western Chorus Frog,NA,NA,LC,NA,3.1,2015,decreasing,NA,Polygynous,Female larger,adw,adw,2.65,2.88,NA,NA,han,han,NA,NA,64.24977,43.90007,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"(Matthews, 1971)",NA,NA,NA,NA,NA,NA,ASR based on marked individuals from a 3 year study: 1145 males and 1144 females (CCI 05/11/2018)
Pseudis platensis,135794,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudis,platensis,"Gallardo, 1961",NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,3.1,2008,unknown,NA,NA,NA,NA,NA,5.04,5.75,NA,NA,nali,nali,NA,NA,33.87573,47.18283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopaludicola canga,57311,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pseudopaludicola,canga,"Giaretta & Kokubum, 2003",NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,1.52,1.82,NA,NA,nali,nali,NA,NA,4.237124,0.6945018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopaludicola falcipes,57313,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pseudopaludicola,falcipes,"(Hensel, 1867)",NA,NA,NA,NA,Liuperus falcipes,Hensel's Swamp Frog,NA,Macaquito,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,1.48,1.63,NA,NA,nali,nali,NA,NA,88.98783,148.7708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopaludicola mystacalis,57317,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pseudopaludicola,mystacalis,"(Cope, 1887)",NA,NA,NA,NA,Paludicola ameghini  ,Cope's Swamp Frog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,1.73,1.89,NA,NA,nali,nali,NA,NA,89.22345,226.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopaludicola saltica,57320,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Pseudopaludicola,saltica,"(Cope, 1887)",NA,NA,NA,NA,Paludicola saltica,"Chupada Swamp Frog, Long-legged Swamp Froglet",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,1.54,1.7,NA,NA,nali,nali,NA,NA,36.68825,82.22917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudophryne bibronii,18581,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MYOBATRACHIDAE,Pseudophryne,bibronii,"Günther, 1859",NA,NA,NA,NA,NA,"Bibron's Toadlet, Brown Toadlet",NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,2.6,2.7,NA,NA,han,han,NA,NA,113.4105,64.23063,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudorana weiningensis,58750,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pseudorana,weiningensis,"(Liu, Hu and Yang, 1962)",NA,NA,NA,NA,Rana weiningensis  ,NA,NA,NA,VU,B2ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,3.5,4.3,NA,NA,han,han,NA,NA,8.926739,3.808054,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychadena anchietae,58490,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PTYCHADENIDAE,Ptychadena,anchietae,"(Bocage, 1868)",NA,NA,NA,NA,Rana anchietae,"Plain Grass Frog, Anchieta's Ridged Frog",NA,NA,LC,NA,3.1,2016,unknown,NA,NA,NA,NA,NA,5.1,6.2,NA,NA,nali,nali,NA,NA,212.4807,551.2989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychadena mascareniensis,76317565,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PTYCHADENIDAE,Ptychadena,mascareniensis,"(Duméril & Bibron, 1841)",NA,NA,NA,NA,Rana mascareniensis,Mascarene Grass Frog,NA,NA,LC,NA,3.1,2016,unknown,NA,NA,NA,NA,NA,5,6,NA,NA,nali,nali,NA,NA,0.7679166,0.04692628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychohyla euthysanota,55910,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ptychohyla,euthysanota,"(Kellogg, 1928)",NA,NA,NA,NA,NA,NA,NA,NA,NT,NA,3.1,2010,unknown,NA,NA,NA,NA,NA,3.5,3.82,NA,NA,han,han,NA,NA,9.522014,0.7214789,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychohyla leonhardschultzei,55913,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ptychohyla,leonhardschultzei,"(Ahl, 1934)",NA,NA,NA,NA,NA,Schultze's Stream Frog,NA,Rana-de Arbol De Schultze,EN,B1ab(v),3.1,2006,decreasing,NA,NA,NA,NA,NA,3.16,3.99,NA,NA,han,han,NA,NA,2.702718,0.09503692,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychohyla spinipollex,55918,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ptychohyla,spinipollex,"(K. Schmidt, 1936)",NA,NA,NA,NA,NA,NA,NA,NA,EN,B1ab(iii)+2ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,3.71,4.28,NA,NA,han,han,NA,NA,1.474163,0.03960283,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyxicephalus adspersus,58535,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Pyxicephalus,adspersus,"Tschudi, 1838",NA,NA,NA,NA,NA,African Bullfrog,NA,NA,LC,NA,3.1,2013,decreasing,NA,NA,NA,NA,NA,2.03,1.15,NA,NA,han,han,NA,NA,104.1071,316.404,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa boulengeri,58420,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,boulengeri,"(Günther, 1889)",NA,NA,NA,NA,Paa boulengeri  ,"Boulenger's Spiny Frog, Boulenger's Paa Frog",NA,NA,EN,A2acd,3.1,2004,decreasing,NA,NA,NA,NA,NA,10.06,10.33,NA,NA,han,han,NA,NA,42.41912,91.47347,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa exilispinosa,58424,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,exilispinosa,"(Liu & Hu, 1975)",NA,NA,NA,NA,Paa exilispinosa  |Rana paraspinosa  ,"Little Spiny Frog, Hong Kong Paa Frog",NA,NA,VU,A2acd,3.1,2004,decreasing,NA,NA,NA,NA,NA,6.12,5.71,NA,NA,nali,nali,NA,NA,31.73657,8.498654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa jiulongensis,58427,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,jiulongensis,"(Huang & Liu, 1985)",NA,NA,NA,NA,Paa jiulongensis  ,"Jiulong Spiny Frog, Jiulong Paa Frog",NA,NA,VU,"B2ab(iii,v)",3.1,2004,decreasing,NA,NA,NA,NA,NA,7.48,9.11,NA,NA,nali,nali,NA,NA,9.895759,3.593467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa shini,58438,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,shini,"(Ahl, 1930)",NA,NA,NA,NA,Paa shini  ,"Spiny-flanked Frog, Chinese Paa Frog",NA,NA,VU,A2abc,3.1,2004,decreasing,NA,NA,NA,NA,NA,9.86,9.49,NA,NA,nali,nali,NA,NA,19.4176,13.07393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa spinosa,58439,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,spinosa,"(David, 1875)",NA,NA,NA,NA,Paa spinosa  |Rana latrans  ,"Chinese Edible Frog, Giant Spiny Frog, Spiny Paa Frog",NA,NA,VU,A2abc,3.1,2004,decreasing,NA,NA,NA,NA,NA,8.92,9.32,NA,NA,han,han,NA,NA,88.92229,103.8947,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quasipaa yei,58444,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Quasipaa,yei,"(Chen, Qu & Jiang, 2002)",NA,NA,NA,NA,Chaparana yei  |Nanorana yei  |Paa yei  |Yerana yei  ,NA,NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,5.81,7.5,NA,NA,nali,nali,NA,NA,0.06984837,0.000388232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana amurensis,58542,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,amurensis,"Boulenger, 1886",NA,NA,NA,NA,Rana  muta  subspecies johanseni ,"Siberian Wood Frog, Amur Brown Frog, Heilongjiang Brown Frog, Khabarovsk Frog",NA,NA,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,4.1,5.28,NA,NA,han,han,NA,NA,334.5211,1145.292,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana asiatica,58549,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,asiatica,"Bedriaga, 1898",NA,NA,NA,NA,Rana asiatica subspecies balchaschensis|Rana asiatica subspecies issikkulensis|Rana bachtyana  |Rana temporaria subspecies asiatica,Central Asiatic Frog,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,5.34,5.38,NA,NA,han,han,NA,NA,0.6297768,0.03156112,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana boylii,19175,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,boylii,"Baird, 1854",NA,NA,NA,NA,NA,Yellow-legged Frog,NA,Rana Pata Amarilla,NT,NA,3.1,2004,decreasing,NA,Polygynous,Female larger,adw,adw,5.6,7.3,NA,NA,han,han,NA,NA,83.59561,20.63918,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,"(Wheeler & Welsh, 2008)",NA,NA,NA,NA,NA,NA,ASR based on captured and marked adults during breeding season and post-reproductive months: 31 males and 21 females (CCI 05/11/2018)
Rana cascadae,19176,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,cascadae,"Slater, 1939",NA,NA,NA,NA,NA,Cascades Frog,NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.43,3.98,NA,NA,monnet,monnet,NA,NA,78.15721,13.06438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana chaochiaoensis,58569,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,chaochiaoensis,"Liu, 1946",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,5.36,5.29,NA,NA,han,han,NA,NA,30.39656,31.64156,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana chensinensis,58572,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,chensinensis,"David, 1875",NA,NA,NA,NA,NA,"Asiatic Grass Frog, Chinese Brown Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,Monoandry,NA,liao,NA,6.06,6.77,NA,NA,"(Chen et al., 2011)","(Chen et al., 2011)",NA,NA,139.7085,307.2808,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,"(Lu et al., 2006)",NA,NA,NA,NA,NA,NA,"ASR based on captured adults from 3 different elevations: 73 males, 61 females; updated svl for male and female (CCI 05/11/2018)"
Rana dalmatina,58584,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,dalmatina,"Bonaparte, 1840",NA,NA,NA,NA,Rana agilis  ,Agile Frog,NA,Rana Ágil,LC,NA,3.1,2009,decreasing,NA,NA,NA,NA,NA,4.52,5.67,NA,NA,han,han,NA,NA,360.2231,208.893,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana iberica,58622,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,"Boulenger, 1879",NA,NA,NA,NA,NA,Iberian Frog,NA,Rana Patilarga,NT,NA,3.1,2009,decreasing,NA,NA,NA,NA,NA,3.913,4.614,NA,NA,monnet,monnet,NA,NA,38.16104,10.88332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana japonica,58625,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,japonica,"Boulenger, 1879",NA,NA,NA,NA,NA,Japanese Brown Frog,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.81,5.37,NA,NA,han,han,NA,NA,133.6699,25.11286,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.31,34.4,0.43,pipoly,-0.066,pipoly,NA,NA,NA,NA,NA
Rana johnsi,58629,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,johnsi,"Smith, 1921",NA,NA,NA,NA,Rana sauteri subspecies johnsi,John's Frog,NA,NA,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,4.31,4.65,NA,NA,han,han,NA,NA,33.80797,10.70153,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana kukunoris,58635,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,kukunoris,"Nikolsky, 1918",NA,NA,NA,NA,Rana amurensis subspecies kukunoris,NA,NA,NA,LC,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,5.63,6.19,NA,NA,han,han,NA,NA,50.50947,71.83079,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana kunyuensis,58636,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,kunyuensis,"Lu and Li, 2002",NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,4.09,4.48,NA,NA,han,han,NA,NA,2.910844,0.2631463,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
